,,0
deva.E,ए,0.64
deva.Ka,क,0.32
deva.Ja,ज,0.23
deva.Ddha,ढ,0.48
deva.Na,न,0.19
deva.Bha,भ,0.19
deva.Ma,म,0.17
deva.Sha,श,0.46
