,,0
deva.I,इ,0.34
deva.Ga,ग,0.32
deva.Dda,ड,0.33
deva.Na,न,0.31
deva.Pa,प,0.25
deva.Ba,ब,0.45
deva.Sa,स,0.33
deva.Ha,ह,0.34
