,,0
deva.U,उ,0.32
deva.Nga,ङ,0.47
deva.Cha,छ,0.34
deva.Tta,ट,0.26
deva.Ttha,ठ,0.37
deva.Da,द,0.26
deva.Dha,ध,0.36
deva.La,ल,0.3
