,,0
deva.U,उ,0.36
deva.Gha,घ,0.22
deva.Ca,च,0.51
deva.Cha,छ,0.34
deva.Tta,ट,0.39
deva.Dda,ड,0.25
deva.Dha,ध,0.28
deva.Ha,ह,0.32
