,,0
deva.Ka,क,0.36
deva.Ga,ग,0.54
deva.Nna,ण,0.33
deva.Tha,थ,0.4
deva.Pa,प,0.16
deva.Pha,फ,0.2
deva.Ya,य,0.2
deva.La,ल,0.47
