,futura,futura,pt-serif,pt-serif
,original,scaled,original,scaled
latn.h,30.0,30.0,15.0,19.0
latn.n,0.0,0.0,0.0,0.0
latn.r,37.0,37.0,37.0,48.0
p-value,0.088,0.088,0.088,0.088
