,futura,futura,pt-serif,pt-serif
,original,scaled,original,scaled
latn.h,2.0,2.0,0.0,0.0
latn.m,25.0,25.0,9.0,10.0
latn.q,40.0,40.0,54.0,57.0
p-value,0.002,0.002,0.002,0.002
