,futura,futura,pt-serif,pt-serif
,original,scaled,original,scaled
latn.g,30.0,30.0,34.0,44.0
latn.n,2.0,2.0,1.0,1.0
latn.z,35.0,35.0,17.0,22.0
p-value,0.055,0.055,0.055,0.055
