,calibri,calibri,century-schoolbook,century-schoolbook
,original,scaled,original,scaled
latn.i,4.0,4.0,6.0,8.0
latn.j,1.0,1.0,4.0,5.0
latn.p,72.0,72.0,49.0,64.0
p-value,0.108,0.108,0.108,0.108
