,futura,futura,pt-serif,pt-serif
,original,scaled,original,scaled
latn.m,3.0,3.0,9.0,12.0
latn.r,1.0,1.0,0.0,0.0
latn.z,63.0,63.0,43.0,55.0
p-value,0.03,0.03,0.03,0.03
