,calibri,calibri,georgia,georgia
,original,scaled,original,scaled
latn.d,74.0,74.0,54.0,65.0
latn.i,1.0,1.0,3.0,4.0
latn.j,2.0,2.0,7.0,8.0
p-value,0.042,0.042,0.042,0.042
