,cambria,cambria,pt-sans,pt-sans
,original,scaled,original,scaled
latn.b,2.0,2.0,2.0,2.0
latn.p,2.0,2.0,2.0,2.0
latn.z,70.0,70.0,61.0,70.0
p-value,1.0,1.0,1.0,1.0
