,cambria,cambria,pt-sans,pt-sans
,original,scaled,original,scaled
latn.i,14.0,14.0,16.0,24.0
latn.q,25.0,25.0,17.0,25.0
latn.z,35.0,35.0,17.0,25.0
p-value,0.197,0.197,0.197,0.197
