,cambria,cambria,pt-sans,pt-sans
,original,scaled,original,scaled
latn.b,2.0,2.0,6.0,7.0
latn.n,70.0,70.0,57.0,65.0
latn.p,2.0,2.0,2.0,2.0
p-value,0.251,0.251,0.251,0.251
