,cambria,cambria,pt-sans,pt-sans
,original,scaled,original,scaled
latn.b,19.0,19.0,4.0,6.0
latn.i,51.0,51.0,42.0,62.0
latn.n,4.0,4.0,4.0,6.0
p-value,0.041,0.041,0.041,0.041
