,pt-sans,pt-sans,pt-serif,pt-serif
,original,scaled,original,scaled
latn.n,1.0,1.0,1.0,1.0
latn.q,15.0,16.0,17.0,17.0
latn.z,34.0,35.0,34.0,34.0
p-value,0.915,0.915,0.915,0.915
