,calibri,calibri,century-schoolbook,century-schoolbook
,original,scaled,original,scaled
latn.i,25.0,25.0,6.0,8.0
latn.p,30.0,30.0,24.0,31.0
latn.v,22.0,22.0,29.0,38.0
p-value,0.003,0.003,0.003,0.003
