,candara,candara,georgia,georgia
,original,scaled,original,scaled
latn.b,0.0,0.0,0.0,0.0
latn.d,1.0,1.0,0.0,0.0
latn.i,60.0,63.0,64.0,64.0
p-value,0.488,0.488,0.488,0.488
