,,counts,frequencies,CI
cyrl.a,а,7.0,0.1,"(0.04, 0.19)"
cyrl.hard-sign,ъ,42.0,0.58,"(0.45, 0.69)"
cyrl.io,ё,24.0,0.33,"(0.22, 0.45)"
