,,counts,frequencies,CI
cyrl.io,ё,49.0,0.67,"(0.55, 0.78)"
cyrl.shcha,щ,17.0,0.23,"(0.14, 0.35)"
cyrl.short-i,й,7.0,0.1,"(0.04, 0.19)"
