,,counts,frequencies,CI
cyrl.be,б,41.0,0.56,"(0.44, 0.68)"
cyrl.hard-sign,ъ,7.0,0.1,"(0.04, 0.19)"
cyrl.shcha,щ,25.0,0.34,"(0.24, 0.46)"
