,,counts,frequencies,CI
cyrl.che,ч,55.0,0.92,"(nan, nan)"
cyrl.hard-sign,ъ,5.0,0.08,"(nan, nan)"
cyrl.soft-sign,ь,,,"(nan, nan)"
