,,counts,frequencies,CI
cyrl.i,и,41.0,0.68,"(0.55, 0.8)"
cyrl.soft-sign,ь,8.0,0.13,"(0.06, 0.25)"
cyrl.yeru,ы,11.0,0.18,"(0.1, 0.3)"
