,,counts,frequencies,CI
cyrl.hard-sign,ъ,12.0,0.2,"(0.11, 0.32)"
cyrl.i,и,43.0,0.72,"(0.59, 0.83)"
cyrl.ve,в,5.0,0.08,"(0.03, 0.18)"
