,,counts,frequencies,CI
cyrl.a,а,13.0,0.22,"(0.12, 0.34)"
cyrl.che,ч,3.0,0.05,"(0.01, 0.14)"
cyrl.ha,х,44.0,0.73,"(0.6, 0.84)"
