,,counts,frequencies,CI
cyrl.a,а,31.0,0.52,"(0.38, 0.65)"
cyrl.soft-sign,ь,16.0,0.27,"(0.16, 0.4)"
cyrl.ve,в,13.0,0.22,"(0.12, 0.34)"
