,,counts,frequencies,CI
cyrl.a,а,11.0,0.18,"(0.1, 0.3)"
cyrl.i,и,34.0,0.57,"(0.43, 0.69)"
cyrl.yeru,ы,15.0,0.25,"(0.15, 0.38)"
