,,counts,frequencies,CI
cyrl.ghe,г,50.0,0.81,"(0.69, 0.9)"
cyrl.ka,к,2.0,0.03,"(0.0, 0.11)"
cyrl.zhe,ж,10.0,0.16,"(0.08, 0.28)"
