,,counts,frequencies,CI
cyrl.io,ё,44.0,0.71,"(0.58, 0.82)"
cyrl.ya,я,4.0,0.06,"(0.02, 0.16)"
cyrl.zhe,ж,14.0,0.23,"(0.13, 0.35)"
