,,counts,frequencies,CI
cyrl.a,а,2.0,0.03,"(0.0, 0.11)"
cyrl.de,д,38.0,0.61,"(0.48, 0.73)"
cyrl.io,ё,22.0,0.35,"(0.24, 0.49)"
