,,counts,frequencies,CI
cyrl.ghe,г,40.0,0.65,"(0.51, 0.76)"
cyrl.ka,к,5.0,0.08,"(0.03, 0.18)"
cyrl.ya,я,17.0,0.27,"(0.17, 0.4)"
