,,counts,frequencies,CI
cyrl.ghe,г,2.0,0.03,"(0.0, 0.11)"
cyrl.io,ё,55.0,0.89,"(0.78, 0.95)"
cyrl.pe,п,5.0,0.08,"(0.03, 0.18)"
