,,counts,frequencies,CI
cyrl.a,а,56.0,0.9,"(0.8, 0.96)"
cyrl.ka,к,1.0,0.02,"(0.0, 0.09)"
cyrl.zhe,ж,5.0,0.08,"(0.03, 0.18)"
