,,counts,frequencies,CI
cyrl.de,д,8.0,0.13,"(0.06, 0.24)"
cyrl.ka,к,47.0,0.76,"(0.63, 0.86)"
cyrl.pe,п,7.0,0.11,"(0.05, 0.22)"
