,,counts,frequencies,CI
cyrl.ghe,г,25.0,0.4,"(0.28, 0.54)"
cyrl.io,ё,34.0,0.55,"(0.42, 0.68)"
cyrl.ya,я,3.0,0.05,"(0.01, 0.13)"
