,,0
cyrl.be,б,0.44
cyrl.ie,е,0.31
cyrl.ze,з,0.34
cyrl.i,и,0.25
cyrl.em,м,0.33
cyrl.en,н,0.29
cyrl.ef,ф,0.49
cyrl.che,ч,0.3
