,,0
cyrl.a,а,0.28
cyrl.ve,в,0.23
cyrl.i,и,0.48
cyrl.ha,х,0.61
cyrl.che,ч,0.4
cyrl.hard-sign,ъ,0.23
cyrl.yeru,ы,0.29
cyrl.soft-sign,ь,0.17
