,,0
cyrl.de,д,0.23
cyrl.ka,к,0.31
cyrl.el,л,0.22
cyrl.o,о,0.48
cyrl.es,с,0.49
cyrl.tse,ц,0.28
cyrl.yu,ю,0.36
cyrl.ya,я,0.33
