,,0
cyrl.a,а,0.38
cyrl.be,б,0.44
cyrl.io,ё,0.44
cyrl.short-i,й,0.36
cyrl.tse,ц,0.21
cyrl.sha,ш,0.27
cyrl.shcha,щ,0.22
cyrl.hard-sign,ъ,0.38
