,,counts,frequencies,CI
deva.Ga,ग,37.0,0.59,"(0.46, 0.71)"
deva.La,ल,21.0,0.33,"(0.22, 0.46)"
deva.Pha,फ,5.0,0.08,"(0.03, 0.18)"
