,,counts,frequencies,CI
deva.Ka,क,11.0,0.17,"(0.09, 0.29)"
deva.Pha,फ,5.0,0.08,"(0.03, 0.18)"
deva.Tha,थ,47.0,0.75,"(0.62, 0.85)"
