,,counts,frequencies,CI
deva.Ka,क,15.0,0.24,"(0.14, 0.36)"
deva.Nna,ण,44.0,0.7,"(0.57, 0.81)"
deva.Pha,फ,4.0,0.06,"(0.02, 0.15)"
