,,counts,frequencies,CI
deva.Ga,ग,32.0,0.51,"(0.38, 0.64)"
deva.La,ल,15.0,0.24,"(0.14, 0.36)"
deva.Tha,थ,16.0,0.25,"(0.15, 0.38)"
