,,counts,frequencies,CI
deva.Ga,ग,52.0,0.83,"(0.71, 0.91)"
deva.Pa,प,5.0,0.08,"(0.03, 0.18)"
deva.Ya,य,6.0,0.1,"(0.04, 0.2)"
