,,counts,frequencies,CI
deva.La,ल,42.0,0.67,"(0.54, 0.78)"
deva.Nna,ण,15.0,0.24,"(0.14, 0.36)"
deva.Pa,प,6.0,0.1,"(0.04, 0.2)"
