,,counts,frequencies,CI
deva.Pha,फ,43.0,0.68,"(0.55, 0.79)"
deva.Tha,थ,19.0,0.3,"(0.19, 0.43)"
deva.Ya,य,1.0,0.02,"(0.0, 0.09)"
