,,counts,frequencies,CI
deva.Ga,ग,23.0,0.37,"(0.25, 0.5)"
deva.Ka,क,35.0,0.56,"(0.42, 0.68)"
deva.Pa,प,5.0,0.08,"(0.03, 0.18)"
