,,counts,frequencies,CI
deva.Ka,क,14.0,0.22,"(0.13, 0.34)"
deva.La,ल,17.0,0.27,"(0.17, 0.4)"
deva.Ya,य,32.0,0.51,"(0.38, 0.64)"
