,,counts,frequencies,CI
deva.Ka,क,10.0,0.16,"(0.08, 0.27)"
deva.La,ल,18.0,0.29,"(0.18, 0.41)"
deva.Pa,प,35.0,0.56,"(0.42, 0.68)"
