,,counts,frequencies,CI
deva.Ga,ग,54.0,0.86,"(0.75, 0.93)"
deva.Ka,क,3.0,0.05,"(0.01, 0.13)"
deva.Pha,फ,6.0,0.1,"(0.04, 0.2)"
