,,counts,frequencies,CI
deva.Dda,ड,30.0,0.67,"(0.51, 0.8)"
deva.Pa,प,6.0,0.13,"(0.05, 0.27)"
deva.Sa,स,9.0,0.2,"(0.1, 0.35)"
