,,counts,frequencies,CI
deva.Ba,ब,52.0,0.91,"(0.81, 0.97)"
deva.Ha,ह,1.0,0.02,"(0.0, 0.09)"
deva.I,इ,4.0,0.07,"(0.02, 0.17)"
