,,counts,frequencies,CI
deva.Ga,ग,14.0,0.25,"(0.14, 0.38)"
deva.Ha,ह,37.0,0.65,"(0.51, 0.77)"
deva.Sa,स,6.0,0.11,"(0.04, 0.22)"
