,,counts,frequencies,CI
deva.Ha,ह,2.0,0.04,"(0.01, 0.15)"
deva.I,इ,3.0,0.07,"(0.01, 0.18)"
deva.Sa,स,40.0,0.89,"(0.76, 0.96)"
