,,counts,frequencies,CI
deva.Ba,ब,14.0,0.31,"(0.18, 0.47)"
deva.Ha,ह,16.0,0.36,"(0.22, 0.51)"
deva.Na,न,15.0,0.33,"(0.2, 0.49)"
