,,counts,frequencies,CI
deva.Ba,ब,17.0,0.38,"(0.24, 0.53)"
deva.Ha,ह,20.0,0.44,"(0.3, 0.6)"
deva.Sa,स,8.0,0.18,"(0.08, 0.32)"
