,,counts,frequencies,CI
deva.Ba,ब,16.0,0.28,"(0.17, 0.42)"
deva.Dda,ड,37.0,0.65,"(0.51, 0.77)"
deva.Pa,प,4.0,0.07,"(0.02, 0.17)"
