,,counts,frequencies,CI
deva.Ha,ह,35.0,0.61,"(0.48, 0.74)"
deva.Na,न,18.0,0.32,"(0.2, 0.45)"
deva.Sa,स,4.0,0.07,"(0.02, 0.17)"
