,,counts,frequencies,CI
deva.Ba,ब,13.0,0.29,"(0.16, 0.44)"
deva.Dda,ड,18.0,0.4,"(0.26, 0.56)"
deva.Sa,स,14.0,0.31,"(0.18, 0.47)"
