,,counts,frequencies,CI
deva.Ga,ग,11.0,0.24,"(0.13, 0.4)"
deva.I,इ,30.0,0.67,"(0.51, 0.8)"
deva.Sa,स,4.0,0.09,"(0.02, 0.21)"
