,,counts,frequencies,CI
deva.Na,न,24.0,0.42,"(0.29, 0.56)"
deva.Pa,प,9.0,0.16,"(0.07, 0.28)"
deva.Sa,स,24.0,0.42,"(0.29, 0.56)"
