,,counts,frequencies,CI
cyrl.e,э,2.0,0.03,"(0.0, 0.11)"
cyrl.ha,х,56.0,0.9,"(0.8, 0.96)"
cyrl.ie,е,4.0,0.06,"(0.02, 0.16)"
