,,counts,frequencies,CI
cyrl.ghe,г,2.0,0.03,"(0.0, 0.11)"
cyrl.shcha,щ,58.0,0.94,"(0.84, 0.98)"
cyrl.te,т,2.0,0.03,"(0.0, 0.11)"
