,,counts,frequencies,CI
cyrl.ghe,г,2.0,0.04,"(0.0, 0.13)"
cyrl.ie,е,50.0,0.94,"(0.84, 0.99)"
cyrl.pe,п,1.0,0.02,"(0.0, 0.1)"
